YEAR,AGE_GROUP,LEADING_CAUSES_OF_DEATH,FATALITIES
1996,Ages 15-24,Unintentional injuries,526
1996,Ages 15-24,Unintentional injuries: motor vehicle,400
1996,Ages 15-24,Unintentional injuries: all other,126
1996,Ages 15-24,Suicide,135
1996,Ages 15-24,Malignant neoplasms,64
1996,Ages 15-24,Heart disease,50
1996,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,25
1996,Ages 15-24,Undetermined origin,17
1996,Ages 15-24,Pneumonia and influenza,17
1996,Ages 15-24,HIV infection,15
1996,Ages 15-24,Congenital anomalies,13
1996,Ages 25-44,All Causes,6430
1996,Ages 25-44,Unintentional injuries,1111
1996,Ages 25-44,Unintentional injuries: motor vehicle,527
1996,Ages 25-44,Unintentional injuries: all other,584
1996,Ages 25-44,Malignant neoplasms,943
1996,Ages 25-44,Heart disease,850
1996,Ages 25-44,HIV infection,836
1996,Ages 25-44,Homicide,487
1996,Ages 25-44,Suicide,458
1996,Ages 25-44,Chronic liver disease and cirrhosis,266
1996,Ages 25-44,Cerebrovascular disease,173
1996,Ages 25-44,Pneumonia and influenza,110
1996,Ages 25-44,Diabetes mellitus,109
1996,Ages 45-64,All Causes,17181
1996,Ages 45-64,Malignant neoplasms,6112
1996,Ages 45-64,Heart disease,4878
1996,Ages 45-64,Unintentional injuries,719
1996,Ages 45-64,Unintentional injuries: motor vehicle,332
1996,Ages 45-64,Unintentional injuries: all other,387
1996,Ages 45-64,Cerebrovascular disease,695
1996,Ages 45-64,Chronic obstructive pulmonary diseases and other allied conditions,546
1996,Ages 45-64,Diabetes mellitus,519
1996,Ages 45-64,Chronic liver disease and cirrhosis,423
1996,Ages 45-64,Pneumonia and Influenza,319
1996,Ages 45-64,HIV infection,313
1996,Ages 45-64,Suicide,289
1996,Age 65 and Older,All Causes,78345
1996,Age 65 and Older,Heart disease,28440
1996,Age 65 and Older,Malignant neoplasms,17511
1996,Age 65 and Older,Cerebrovascular disease,6560
1996,Age 65 and Older,Chronic obstructive pulmonary diseases and other allied conditions,3770
1996,Age 65 and Older,Pneumonia and influenza,3506
1996,Age 65 and Older,Diabetes mellitus,2028
1996,Age 65 and Older,Nephritis,1372
1996,Age 65 and Older,Unintentional injuries,1135
1996,Age 65 and Older,Unintentional injuries: motor vehicle,297
1996,Age 65 and Older,Unintentional injuries: all other,838
1996,Age 65 and Older,Septicemia,1065
1996,Age 65 and Older,Alzheimer's disease,1052
1997,All Ages,All Causes,102404
1997,All Ages,Heart disease,32616
1997,All Ages,Malignant neoplasms,24408
1997,All Ages,Cerebrovascular disease,7344
1997,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,4308
1997,All Ages,Pneumonia and influenza,3779
1997,All Ages,Unintentional injury,3646
1997,All Ages,Unintentional injuries: motor vehicle,1553
1997,All Ages,Unintentional injuries: all other,2093
1997,All Ages,Diabetes mellitus,2664
1997,All Ages,Nephritis,1593
1997,All Ages,Septicemia,1315
1997,All Ages,Homicide,1205
1997,All Ages,Chronic liver disease & cirrhosis,1108
1997,All Ages,Alzheimer's disease,1059
1997,All Ages,Suicide,1010
1997,All Ages,Aortic aneurism,757
1997,All Ages,Certain perinatal conditions,738
1997,All Ages,Atherosclerosis,652
1997,All Ages,HIV infection,569
1997,All Ages,Hypertension with or without renal disease,524
1997,All Ages,Congenital anomalies,464
1997,Ages 1-4,All Causes,216
1997,Ages 1-4,Unintentional injury,68
1997,Ages 1-4,Unintentional injuries: motor vehicle,15
1997,Ages 1-4,Unintentional injuries: all other,53
1997,Ages 1-4,Congenital anomalies,26
1997,Ages 1-4,Homicide,20
1997,Ages 1-4,Malignant neoplasms,20
1997,Ages 5-14,All Causes,341
1997,Ages 5-14,Unintentional injuries,129
1997,Ages 5-14,Unintentional injuries: motor vehicle,66
1997,Ages 5-14,Unintentional injuries: all other,63
1997,Ages 5-14,Malignant neoplasms,35
1997,Ages 5-14,Homicide,28
1997,Ages 5-14,Congenital anomalies,16
1997,Ages 5-14,Heart disease,15
1997,Ages 15-24,All Causes,1563
1997,Ages 15-24,Unintentional injury,515
1997,Ages 15-24,Unintentional injuries: motor vehicle,388
1997,Ages 15-24,Unintentional injuries: all other,127
1997,Ages 15-24,Homicide,502
1997,Ages 15-24,Suicide,155
1997,Ages 15-24,Malignant neoplasms,88
1997,Ages 15-24,Heart disease,62
1997,Ages 15-24,Congenital anomalies,19
1997,Ages 15-24,Injury of undetermined origin,18
1997,Ages 25-44,All Causes,5876
1997,Ages 25-44,Unintentional injury,1162
1997,Ages 25-44,Unintentional injuries: motor vehicle,520
1997,Ages 25-44,Unintentional injuries: all other,642
1997,Ages 25-44,Malignant neoplasms,1032
1997,Ages 25-44,Heart disease,846
1997,Ages 25-44,Homicide,469
1997,Ages 25-44,Suicide,395
1997,Ages 25-44,HIV infection,378
1997,Ages 25-44,Chronic liver disease and cirrhosis,192
1997,Ages 25-44,Cerebrovascular disease,153
1997,Ages 25-44,Diabetes mellitus,98
1997,Ages 25-44,Chronic obstructive pulmonary diseases and other allied conditions,93
1997,Ages 25-44,Pneumonia and influenza,89
1997,Ages 25-44,Septicemia,63
1997,Ages 25-44,Nephritis,51
1997,Ages 45-64,All Causes,16594
1997,Ages 45-64,Malignant neoplasms,6043
1997,Ages 45-64,Heart disease,4649
1997,Ages 45-64,Cerebrovascular disease,710
1997,Ages 45-64,Unintentional injury,671
1997,Ages 45-64,Unintentional injuries: motor vehicle,297
1997,Ages 45-64,Unintentional injuries: all other,374
1997,Ages 45-64,Diabetes mellitus,523
1997,Ages 45-64,Chronic obstructive pulmonary disease,494
1997,Ages 45-64,Chronic liver disease and cirrhosis,454
1997,Ages 45-64,Pneumonia and influenza,283
1997,Ages 45-64,Suicide,244
1997,Ages 45-64,Septicemia,193
1997,Ages 45-64,Nephritis,188
1997,Ages 45-64,HIV infection,163
1997,Ages 45-64,Homicide,115
1997,Age 65 and Older,All Causes,76338
1997,Age 65 and Older,Heart disease,27009
1997,Age 65 and Older,Malignant neoplasms,17188
1997,Age 65 and Older,Cerebrovascular disease,6457
1997,Age 65 and Older,Chronic obstructive pulmonary disease,3688
1997,Age 65 and Older,Pneumonia and influenza,3355
1997,Age 65 and Older,Diabetes mellitus,2034
1997,Age 65 and Older,Nephritis,1343
1997,Age 65 and Older,Unintentional injury,1066
1997,Age 65 and Older,Unintentional injuries: motor vehicle,262
1997,Age 65 and Older,Unintentional injuries: all other,804
1997,Age 65 and Older,Alzheimer's disease,1048
1997,Age 65 and Older,Septicemia,1036
1997,Age 65 and Older,Aortic aneurism,640
1997,Age 65 and Older,Atherosclerosis,628
1997,Age 65 and Older,Chronic liver disease and cirrhosis,459
1997,Age 65 and Older,Hypertension with or without renal disease,443
1997,Age 65 and Older,Ulcer of stomach and duodenum,275
1997,Age 65 and Older,Abdominal hernia and intestinal blockage,264
1997,Age 65 and Older,Benign neoplasms,257
1997,Age 65 and Older,Anemias,239
1997,Age 65 and Older,Suicide,205
1998,All Ages,All Causes,104070
1998,All Ages,Heart disease,32722
1998,All Ages,Malignant neoplasms,24592
1998,All Ages,Cerebrovascular disease,7247
1998,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,4542
1998,All Ages,Pneumonia and influenza,3944
1998,All Ages,Unintentional injuries,3803
1998,All Ages,Unintentional injuries: motor vehicle,1530
1998,All Ages,Unintentional injuries: all other,2273
1998,All Ages,Diabetes mellitus,2724
1998,All Ages,Nephritis,1664
1998,All Ages,Septicemia,1468
1998,All Ages,Alzheimer's disease,1137
1998,All Ages,Homicide,1116
1998,All Ages,Chronic liver disease & cirrhosis,1089
1998,All Ages,Suicide,1064
1998,All Ages,Certain perinatal conditions,769
1998,All Ages,Aortic aneurism,742
1998,All Ages,Hypertension with or without renal disease,574
1998,All Ages,Atherosclerosis,556
1998,All Ages,HIV infection,515
1998,All Ages,Congenital anomalies,460
1998,All Ages,Benign neoplasms,363
1998,All Ages,Abdominal hernia and intestinal blockage,322
1998,All Ages,Ulcer of stomach and duodenum,267
1998,All Ages,Anemias,253
1998,All Ages,Alcohol dependence syndrome,156
1998,All Ages,SIDS,152
1998,All Ages,Viral hepatitis,127
1998,All Ages,Injury of undetermined origin,108
1998,All Ages,Cholelithiasis,95
1998,All Ages,Tuberculosis,59
1998,All Ages,Epilepsy,54
1998,All Ages,Muscular dystrophy,51
1998,All Ages,Infantile cerebral palsy,45
1998,All Ages,Meningitis,32
1998,Ages 1-4,All Causes,222
1998,Ages 1-4,Unintentional injuries,64
1998,Ages 1-4,Unintentional injuries: motor vehicle,21
1998,Ages 1-4,Unintentional injuries: all other,43
1998,Ages 1-4,Congenital anomalies,30
1998,Ages 1-4,Heart disease,18
1998,Ages 1-4,Malignant neoplasms,17
1998,Ages 1-4,Homicide,16
1998,Ages 1-4,Pneumonia and influenza,14
1998,Ages 1-4,Septicemia,10
1998,Ages 1-4,Cerebrovascular disease,5
1998,Ages 5-14,All Causes,327
1998,Ages 5-14,Unintentional injuries,114
1998,Ages 5-14,Unintentional injuries: motor vehicle,61
1998,Ages 5-14,Unintentional injuries: all other,53
1998,Ages 5-14,Malignant neoplasms,38
1998,Ages 5-14,Homicide,33
1998,Ages 5-14,Congenital anomalies,19
1998,Ages 5-14,Chronic obstructive pulmonary diseases and other allied conditions,17
1998,Ages 5-14,Heart disease,15
1998,Ages 5-14,Infantile cerebral palsy,10
1998,Ages 5-14,Suicide,8
1998,Ages 5-14,Pneumonia and influenza,8
1998,Ages 5-14,Septicemia,5
1998,Ages 5-14,Benign neoplasms,5
1998,Ages 15-24,All Causes,1583
1998,Ages 15-24,Unintentional injury,541
1998,Ages 15-24,Unintentional injuries: motor vehicle,389
1998,Ages 15-24,Unintentional injuries: all other,152
1998,Ages 15-24,Homicide,490
1998,Ages 15-24,Suicide,160
1998,Ages 15-24,Malignant neoplasms,73
1998,Ages 15-24,Heart disease,70
1998,Ages 15-24,Injury of undetermined origin,20
1998,Ages 15-24,Congenital anomalies,18
1998,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,18
1998,Ages 15-24,Pneumonia and influenza,17
1998,Ages 15-24,Cerebrovascular diseases,13
1998,Ages 15-24,Muscular dystrophy,11
1998,Ages 15-24,HIV infection,9
1998,Ages 15-24,Infantile cerebral palsy,9
1998,Ages 15-24,Benign neoplasms,8
1998,Ages 15-24,Anemias,8
1998,Ages 15-24,Complications of pregnancy and childbirth,6
1998,Ages 15-24,Diabetes mellitus,6
1998,Ages 15-24,Septicemia,5
1998,Ages 25-44,All Causes,5828
1998,Ages 25-44,Unintentional injury,1194
1998,Ages 25-44,Unintentional injuries: motor vehicle,474
1998,Ages 25-44,Unintentional injuries: all other,720
1998,Ages 25-44,Malignant neoplasms,976
1998,Ages 25-44,Heart disease,882
1998,Ages 25-44,Suicide,435
1998,Ages 25-44,Homicide,420
1998,Ages 25-44,HIV infection,317
1998,Ages 25-44,Chronic liver disease and cirrhosis,205
1998,Ages 25-44,Cerebrovascular disease,148
1998,Ages 25-44,Diabetes mellitus,112
1998,Ages 25-44,Pneumonia and influenza,90
1998,Ages 25-44,Chronic obstructive pulmonary diseases and other allied conditions,87
1998,Ages 25-44,Alcohol dependence sndrome,51
1998,Ages 25-44,Septicemia,46
1998,Ages 25-44,Injury of undetermined origin,41
1998,Ages 25-44,Nephritis,35
1998,Ages 25-44,Benign neoplasms,30
1998,Ages 25-44,Congenital anomalies,29
1998,Ages 25-44,Aortic aneurism,26
1998,Ages 25-44,Epilepsy,22
1998,Ages 25-44,Anemias,18
1998,Ages 45-64,All Causes,16852
1998,Ages 45-64,Malignant neoplasms,6129
1998,Ages 45-64,Heart disease,4553
1998,Ages 45-64,Unintentional injury,726
1998,Ages 45-64,Unintentional injuries: motor vehicle,298
1998,Ages 45-64,Unintentional injuries: all other,428
1998,Ages 45-64,Cerebrovascular disease,712
1998,Ages 45-64,Chronic obstructive pulmonary disease,518
1998,Ages 45-64,Diabetes mellitus,505
1998,Ages 45-64,Chronic liver disease and cirrhosis,467
1998,Ages 45-64,Pneumonia and influenza,284
1998,Ages 45-64,Suicide,260
1998,Ages 45-64,Septicemia,216
1998,Ages 45-64,Nephritis,198
1998,Ages 45-64,HIV infection,171
1998,Ages 45-64,Homicide,96
1998,Ages 45-64,Aortic aneurism,87
1998,Ages 45-64,Alcohol dependence syndrome,86
1998,Ages 45-64,Hypertension with or without renal disease,76
1998,Ages 45-64,Benign neoplasms,54
1998,Ages 45-64,Viral hepatitis,47
1998,Ages 45-64,Injury of undetermined origin,29
1998,Ages 45-64,Ulcer of stomach and duodenum,28
1998,Ages 45-64,Congenital anomalies,23
1998,Age 65 and Older,All Causes,77753
1998,Age 65 and Older,Heart disease,27154
1998,Age 65 and Older,Malignant neoplasms,17357
1998,Age 65 and Older,Cerebrovascular disease,6361
1998,Age 65 and Older,Chronic obstructive pulmonary disease,3893
1998,Age 65 and Older,Pneumonia and influenza,3496
1998,Age 65 and Older,Diabetes mellitus,2099
1998,Age 65 and Older,Nephritis,1426
1998,Age 65 and Older,Septicemia,1168
1998,Age 65 and Older,Unintentional injury,1129
1998,Age 65 and Older,Unintentional injuries: motor vehicle,279
1998,Age 65 and Older,Unintentional injuries: all other,850
1998,Age 65 and Older,Alzheimer's disease,1119
1998,Age 65 and Older,Aortic aneurism,626
1998,Age 65 and Older,Atherosclerosis,526
1998,Age 65 and Older,Hypertension with or without renal disease,487
1998,Age 65 and Older,Chronic liver disease and cirrhosis,415
1998,Age 65 and Older,Abdominal hernia and intestinal blockage,287
1998,Age 65 and Older,Benign neoplasms,261
1998,Age 65 and Older,Ulcer of stomach and duodenum,230
1998,Age 65 and Older,Suicide,201
1998,Age 65 and Older,Anemias,199
1998,Age 65 and Older,Cholelithiasis,83
1998,Age 65 and Older,Viral hepatitis,61
1998,Age 65 and Older,Homicide,42
1999,All Ages,All Causes,108122
1999,All Ages,Diseases of heart,33312
1999,All Ages,Malignant neoplasms,24980
1999,All Ages,Cerebrovascular disease,7697
1999,All Ages,Chronic lower respiratory diseases,5153
1999,All Ages,Accidents,4072
1999,All Ages,Unintentional injuries: motor vehicle,1511
1999,All Ages,Unintentional injuries: all other,2561
1999,All Ages,Influenza and pneumonia,3118
1999,All Ages,Diabetes mellitus,2999
1999,All Ages,Nephritis,1963
1999,All Ages,Alzheimer's disease,1905
1999,All Ages,Septicemia,1824
1999,All Ages,Chronic liver disease and cirrhosis,1093
1999,All Ages,Homicide,1012
1999,All Ages,Suicide,1012
1999,All Ages,Pneumonitis due to solids and liquids,826
1999,All Ages,Certain conditions originating in the perinatal period,787
1999,All Ages,Primary hypertension and hypertensive renal disease,733
1999,All Ages,Aortic aneurism and dissection,708
1999,All Ages,Parkinson's disease,699
1999,All Ages,Atherosclerosis,610
1999,All Ages,In situ neoplasms,594
1999,All Ages,HIV disease,546
1999,All Ages,Congenital malformations,497
1999,Ages 1-4,All Causes,255
1999,Ages 1-4,Accidents,83
1999,Ages 1-4,Unintentional injuries: motor vehicle,20
1999,Ages 1-4,Unintentional injuries: all other,63
1999,Ages 1-4,Congenital malformations,31
1999,Ages 1-4,Malignant neoplasms,20
1999,Ages 1-4,Homicide,19
1999,Ages 5-14,All Causes,297
1999,Ages 5-14,Accidents,89
1999,Ages 5-14,Unintentional injuries: motor vehicle,42
1999,Ages 5-14,Unintentional injuries: all other,47
1999,Ages 5-14,Malignant neoplasms,44
1999,Ages 5-14,Homicide,28
1999,Ages 5-14,Congenital malformations,20
1999,Ages 15-24,All Causes,1484
1999,Ages 15-24,Accidents,550
1999,Ages 15-24,Unintentional injuries: motor vehicle,363
1999,Ages 15-24,Unintentional injuries: all other,187
1999,Ages 15-24,Homicide,387
1999,Ages 15-24,Suicide,140
1999,Ages 15-24,Malignant neoplasms,82
1999,Ages 15-24,Diseases of heart,65
1999,Ages 15-24,Chronic lower respiratory diseases,23
1999,Ages 15-24,Congenital malformations,18
1999,Ages 25-44,All Causes,5760
1999,Ages 25-44,Accidents,1209
1999,Ages 25-44,Unintentional injuries: motor vehicle,505
1999,Ages 25-44,Unintentional injuries: all other,704
1999,Ages 25-44,Malignant neoplasms,874
1999,Ages 25-44,Diseases of heart,853
1999,Ages 25-44,Homicide,426
1999,Ages 25-44,Suicide,418
1999,Ages 25-44,HIV disease,319
1999,Ages 25-44,Chronic liver disease and cirrhosis,172
1999,Ages 25-44,Cerebrovascular disease,141
1999,Ages 25-44,Diabetes mellitus,102
1999,Ages 25-44,Chronic lower respiratory diseases,89
1999,Ages 25-44,Influenza and pneumonia,85
1999,Ages 25-44,Septicemia,65
1999,Ages 25-44,Nephritis,62
1999,Ages 25-44,Alcohol dependence sndrome,61
1999,Ages 45-64,All Causes,17345
1999,Ages 45-64,Malignant neoplasms,6075
1999,Ages 45-64,Diseases of heart,4696
1999,Ages 45-64,Accidents,804
1999,Ages 45-64,Unintentional injuries: motor vehicle,278
1999,Ages 45-64,Unintentional injuries: all other,526
1999,Ages 45-64,Cerebrovascular disease,687
1999,Ages 45-64,Chronic lower respiratory diseases,593
1999,Ages 45-64,Diabetes mellitus,574
1999,Ages 45-64,Chronic liver disease and cirrhosis,464
1999,Ages 45-64,Suicide,274
1999,Ages 45-64,Septicemia,263
1999,Ages 45-64,Influenza and pneumonia,247
1999,Ages 45-64,Nephritis,235
1999,Ages 45-64,HIV disease,209
1999,Ages 45-64,Alcohol dependence syndrome,95
1999,Ages 45-64,Primary hypertension and hypertensive renal disease,93
1999,Ages 45-64,Homicide,90
1999,Ages 45-64,In situ neoplasms,83
1999,Ages 45-64,Aortic aneurism and dissection,81
1999,Age 65 and Older,All Causes,81477
1999,Age 65 and Older,Diseases of heart,27643
1999,Age 65 and Older,Malignant neoplasms,17881
1999,Age 65 and Older,Cerebrovascular disease,6851
1999,Age 65 and Older,Chronic lower respiratory diseases,4437
1999,Age 65 and Older,Influenza and pneumonia,2746
1999,Age 65 and Older,Diabetes mellitus,2316
1999,Age 65 and Older,Alzheimer's disease,1885
1999,Age 65 and Older,Nephritis,1651
1999,Age 65 and Older,Septicemia,1464
1999,Age 65 and Older,Accidents,1298
1999,Age 65 and Older,Unintentional injuries: motor vehicle,297
1999,Age 65 and Older,Unintentional injuries: all other,1001
1999,Age 65 and Older,Pneumonitis due to solids and liquids,775
1999,Age 65 and Older,Parkinson's disease,681
1999,Age 65 and Older,Primary hypertension and hypertensive renal disease,621
1999,Age 65 and Older,Aortic aneurism and dissection,605
1999,Age 65 and Older,Atherosclerosis,585
1999,Age 65 and Older,In situ neoplasms,468
1999,Age 65 and Older,Chronic liver disease and cirrhosis,454
2000,All Ages,All Causes,106287
2000,All Ages,Diseases of heart,31772
2000,All Ages,Malignant neoplasms,25316
2000,All Ages,Cerebrovascular disease,7415
2000,All Ages,Chronic lower respiratory diseases,4756
2000,All Ages,Accidents,3989
2000,All Ages,Unintentional injuries: motor vehicle,1503
2000,All Ages,Unintentional injuries: all other,2486
2000,All Ages,Diabetes mellitus,2985
2000,All Ages,Influenza and pneumonia,2909
2000,All Ages,Alzheimer's disease,2150
2000,All Ages,Nephritis,2120
2000,All Ages,Septicemia,1867
2000,All Ages,Chronic liver disease and cirrhosis,1056
2000,All Ages,Suicide,1000
2000,All Ages,Homicide,987
2000,All Ages,Pneumonitis due to solids and liquids,854
2000,All Ages,Certain conditions originating in the perinatal period,820
2000,All Ages,Primary hypertension and hypertensive renal disease,730
2000,All Ages,Aortic aneurism and dissection,723
2000,All Ages,Parkinson's disease,711
2000,All Ages,In situ neoplasms,641
2000,All Ages,Atherosclerosis,601
2000,All Ages,HIV disease,477
2000,All Ages,Congenital malformations,460
2000,Ages 1-4,All Causes,214
2000,Ages 1-4,Accidents,74
2000,Ages 1-4,Unintentional injuries: motor vehicle,26
2000,Ages 1-4,Unintentional injuries: all other,48
2000,Ages 1-4,Congenital malformations,30
2000,Ages 1-4,Malignant neoplasms,18
2000,Ages 1-4,Homicide,11
2000,Ages 5-14,All Causes,293
2000,Ages 5-14,Accidents,99
2000,Ages 5-14,Unintentional injuries: motor vehicle,46
2000,Ages 5-14,Unintentional injuries: all other,53
2000,Ages 5-14,Malignant neoplasms,37
2000,Ages 5-14,Homicide,17
2000,Ages 5-14,Chronic lower respiratory diseases,17
2000,Ages 5-14,Congenital malformations,16
2000,Ages 15-24,All Causes,1451
2000,Ages 15-24,Accidents,553
2000,Ages 15-24,Unintentional injuries: motor vehicle,364
2000,Ages 15-24,Unintentional injuries: all other,189
2000,Ages 15-24,Homicide,391
2000,Ages 15-24,Suicide,145
2000,Ages 15-24,Malignant neoplasms,72
2000,Ages 15-24,Diseases of heart,65
2000,Ages 15-24,Chronic lower respiratory diseases,19
2000,Ages 15-24,Congenital malformations,19
2000,Ages 25-44,All Causes,5620
2000,Ages 25-44,Accidents,1218
2000,Ages 25-44,Unintentional injuries: motor vehicle,505
2000,Ages 25-44,Unintentional injuries: all other,713
2000,Ages 25-44,Malignant neoplasms,893
2000,Ages 25-44,Diseases of heart,822
2000,Ages 25-44,Homicide,397
2000,Ages 25-44,Suicide,393
2000,Ages 25-44,HIV disease,287
2000,Ages 25-44,Chronic liver disease and cirrhosis,181
2000,Ages 25-44,Cerebrovascular disease,145
2000,Ages 25-44,Diabetes mellitus,104
2000,Ages 25-44,Chronic lower respiratory diseases,82
2000,Ages 25-44,Influenza and pneumonia,81
2000,Ages 25-44,Septicemia,80
2000,Ages 25-44,Nephritis,52
2000,Ages 45-64,All Causes,17244
2000,Ages 45-64,Malignant neoplasms,6252
2000,Ages 45-64,Diseases of heart,4483
2000,Ages 45-64,Accidents,785
2000,Ages 45-64,Unintentional injuries: motor vehicle,305
2000,Ages 45-64,Unintentional injuries: all other,480
2000,Ages 45-64,Cerebrovascular disease,706
2000,Ages 45-64,Diabetes mellitus,565
2000,Ages 45-64,Chronic lower respiratory diseases,501
2000,Ages 45-64,Chronic liver disease and cirrhosis,452
2000,Ages 45-64,Septicemia,280
2000,Ages 45-64,Suicide,274
2000,Ages 45-64,Nephritis,272
2000,Ages 45-64,Influenza and pneumonia,195
2000,Ages 45-64,HIV disease,163
2000,Ages 45-64,Homicide,113
2000,Ages 45-64,Primary hypertension and hypertensive renal disease,101
2000,Ages 45-64,In situ neoplasms,92
2000,Ages 45-64,Aortic aneurism and dissection,90
2000,Age 65 and Older,All Causes,79937
2000,Age 65 and Older,Diseases of heart,26347
2000,Age 65 and Older,Malignant neoplasms,18041
2000,Age 65 and Older,Cerebrovascular disease,6532
2000,Age 65 and Older,Chronic lower respiratory diseases,4134
2000,Age 65 and Older,Influenza and pneumonia,2603
2000,Age 65 and Older,Diabetes mellitus,2312
2000,Age 65 and Older,Alzheimer's disease,2128
2000,Age 65 and Older,Nephritis,1780
2000,Age 65 and Older,Septicemia,1475
2000,Age 65 and Older,Accidents,1199
2000,Age 65 and Older,Unintentional injuries: motor vehicle,249
2000,Age 65 and Older,Unintentional injuries: all other,950
2000,Age 65 and Older,Pneumonitis due to solids and liquids,801
2000,Age 65 and Older,Parkinson's disease,701
2000,Age 65 and Older,Primary hypertension and hypertensive renal disease,612
2000,Age 65 and Older,Aortic aneurism and dissection,610
2000,Age 65 and Older,Atherosclerosis,572
2000,Age 65 and Older,In situ neoplasms,510
2000,Age 65 and Older,Chronic liver disease and cirrhosis,421
2001,All Ages,All Causes,104858
2001,All Ages,Diseases of heart,30827
2001,All Ages,Malignant neoplasms,24674
2001,All Ages,Cerebrovascular disease,7195
2001,All Ages,Chronic lower respiratory diseases,4756
2001,All Ages,Accidents,4027
2001,All Ages,Unintentional injuries: motor vehicle,1559
2001,All Ages,Unintentional injuries: all other,2468
2001,All Ages,Diabetes mellitus,3085
2001,All Ages,Influenza and pneumonia,2648
2001,All Ages,Nephritis,2166
2001,All Ages,Alzheimer's disease,2161
2001,All Ages,Septicemia,1964
2001,All Ages,Suicide,1131
2001,All Ages,Chronic liver disease and cirrhosis,1101
2001,All Ages,Homicide,1064
2001,All Ages,Pneumonitis due to solids and liquids,848
2001,All Ages,Primary hypertension and hypertensive renal disease,784
2001,All Ages,Parkinson's disease,755
2001,All Ages,Certain conditions originating in the perinatal period,742
2001,All Ages,Aortic aneurism and dissection,677
2001,All Ages,In situ neoplasms,619
2001,All Ages,Atherosclerosis,569
2001,All Ages,HIV disease,514
2001,All Ages,Congenital malformations,424
2001,Ages 1-4,All Causes,229
2001,Ages 1-4,Accidents,56
2001,Ages 1-4,Unintentional injuries: motor vehicle,17
2001,Ages 1-4,Unintentional injuries: all other,39
2001,Ages 1-4,Congenital malformations,24
2001,Ages 1-4,Homicide,23
2001,Ages 1-4,Malignant neoplasms,21
2001,Ages 1-4,Diseases of heart,16
2001,Ages 5-14,All Causes,317
2001,Ages 5-14,Accidents,104
2001,Ages 5-14,Unintentional injuries: motor vehicle,56
2001,Ages 5-14,Unintentional injuries: all other,48
2001,Ages 5-14,Malignant neoplasms,43
2001,Ages 5-14,Congenital malformations,17
2001,Ages 5-14,Homicide,17
2001,Ages 5-14,Suicide,17
2001,Ages 5-14,Diseases of heart,15
2001,Ages 15-24,All Causes,1482
2001,Ages 15-24,Accidents,530
2001,Ages 15-24,Unintentional injuries: motor vehicle,385
2001,Ages 15-24,Unintentional injuries: all other,145
2001,Ages 15-24,Homicide,413
2001,Ages 15-24,Suicide,154
2001,Ages 15-24,Malignant neoplasms,86
2001,Ages 15-24,Diseases of heart,55
2001,Ages 15-24,Congenital malformations,20
2001,Ages 25-44,All Causes,5536
2001,Ages 25-44,Accidents,1177
2001,Ages 25-44,Unintentional injuries: motor vehicle,487
2001,Ages 25-44,Unintentional injuries: all other,690
2001,Ages 25-44,Malignant neoplasms,841
2001,Ages 25-44,Diseases of heart,808
2001,Ages 25-44,Suicide,433
2001,Ages 25-44,Homicide,423
2001,Ages 25-44,HIV disease,292
2001,Ages 25-44,Chronic liver disease and cirrhosis,204
2001,Ages 25-44,Cerebrovascular disease,123
2001,Ages 25-44,Diabetes mellitus,98
2001,Ages 25-44,Chronic lower respiratory diseases,87
2001,Ages 25-44,Septicemia,79
2001,Ages 25-44,Nephritis,58
2001,Ages 25-44,Influenza and pneumonia,57
2001,Ages 45-64,All Causes,17633
2001,Ages 45-64,Malignant neoplasms,6239
2001,Ages 45-64,Diseases of heart,4545
2001,Ages 45-64,Accidents,872
2001,Ages 45-64,Unintentional injuries: motor vehicle,337
2001,Ages 45-64,Unintentional injuries: all other,535
2001,Ages 45-64,Cerebrovascular disease,654
2001,Ages 45-64,Diabetes mellitus,583
2001,Ages 45-64,Chronic lower respiratory diseases,576
2001,Ages 45-64,Chronic liver disease and cirrhosis,459
2001,Ages 45-64,Suicide,325
2001,Ages 45-64,Septicemia,306
2001,Ages 45-64,Nephritis,281
2001,Ages 45-64,Influenza and pneumonia,200
2001,Ages 45-64,HIV disease,194
2001,Ages 45-64,Homicide,121
2001,Ages 45-64,Primary hypertension and hypertensive renal disease,107
2001,Ages 45-64,Aortic aneurism and dissection,93
2001,Age 65 and Older,All Causes,78282
2001,Age 65 and Older,Diseases of heart,25356
2001,Age 65 and Older,Malignant neoplasms,17440
2001,Age 65 and Older,Cerebrovascular disease,6394
2001,Age 65 and Older,Chronic lower respiratory diseases,4067
2001,Age 65 and Older,Diabetes mellitus,2400
2001,Age 65 and Older,Influenza and pneumonia,2345
2001,Age 65 and Older,Alzheimer's disease,2129
2001,Age 65 and Older,Nephritis,1816
2001,Age 65 and Older,Septicemia,1541
2001,Age 65 and Older,Accidents,1241
2001,Age 65 and Older,Unintentional injuries: motor vehicle,270
2001,Age 65 and Older,Unintentional injuries: all other,971
2001,Age 65 and Older,Pneumonitis due to solids and liquids,791
2001,Age 65 and Older,Primary hypertension and hypertensive renal disease,662
2001,Age 65 and Older,Aortic aneurism and dissection,562
